timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-11-27T00:00:00.000Z";"2022-11-27T23:59:59.999Z";"2022-11-27T06:26:00.000Z";"2022-11-27T23:58:00.000Z";"2781";1205.905320533;1220.3494838634;1195.0390882136;1195.1269193712;4486976867.54;146252301744.43;"2022-11-27T23:59:59.999Z"
"2022-11-26T00:00:00.000Z";"2022-11-26T23:59:59.999Z";"2022-11-26T14:44:00.000Z";"2022-11-26T00:26:00.000Z";"2781";1198.7904718202;1227.0381402283;1198.0979434833;1205.8979386345;5074160557.53;147570393014.79;"2022-11-26T23:59:59.999Z"
"2022-11-25T00:00:00.000Z";"2022-11-25T23:59:59.999Z";"2022-11-25T00:00:00.000Z";"2022-11-25T06:02:00.000Z";"2781";1203.7994267442;1203.7994267442;1174.8233877819;1198.92593624;5483308195.58;146717202126.48;"2022-11-25T23:59:59.999Z"
"2022-11-24T00:00:00.000Z";"2022-11-24T23:59:59.999Z";"2022-11-24T07:10:00.000Z";"2022-11-24T00:54:00.000Z";"2781";1183.3451147765;1211.6274662327;1180.3798036739;1203.9832033323;9706372375.86;147336079453.07;"2022-11-24T23:59:59.999Z"
"2022-11-23T00:00:00.000Z";"2022-11-23T23:59:59.999Z";"2022-11-23T23:47:00.000Z";"2022-11-23T01:31:00.000Z";"2781";1135.4215218429;1184.9973049191;1130.0228003693;1183.1995563302;11242676044.31;144792704215.32;"2022-11-23T23:59:59.999Z"
"2022-11-22T00:00:00.000Z";"2022-11-22T23:59:59.999Z";"2022-11-22T00:00:00.000Z";"2022-11-22T19:47:00.000Z";"2781";1142.3957822414;1142.3957822414;1084.8573027563;1108.3530462394;14080099207.95;136233447405.02;"2022-11-22T23:59:59.999Z"
"2022-11-21T00:00:00.000Z";"2022-11-21T23:59:59.999Z";"2022-11-21T00:00:00.000Z";"2022-11-21T19:47:00.000Z";"2781";1142.3957822414;1142.3957822414;1084.8573027563;1108.3530462394;14080099207.95;135633447402.59;"2022-11-21T23:59:59.999Z"
"2022-11-20T00:00:00.000Z";"2022-11-20T23:59:59.999Z";"2022-11-20T01:06:00.000Z";"2022-11-20T23:11:00.000Z";"2781";1218.4362412377;1224.0778019924;1137.9331880984;1142.4666845863;9651002683.98;139808065217.86;"2022-11-20T23:59:59.999Z"
"2022-11-19T00:00:00.000Z";"2022-11-19T23:59:59.999Z";"2022-11-19T22:32:00.000Z";"2022-11-19T05:23:00.000Z";"2781";1212.2155146533;1227.8372738296;1200.475588407;1218.4268090143;5978745775.92;149103599322.5;"2022-11-19T23:59:59.999Z"
"2022-11-18T00:00:00.000Z";"2022-11-18T23:59:59.999Z";"2022-11-18T03:04:00.000Z";"2022-11-18T00:00:00.000Z";"2781";1200.8021752405;1226.7374756317;1200.8021752405;1212.3002469438;7979913377.94;148353868235.31;"2022-11-18T23:59:59.999Z"
"2022-11-17T00:00:00.000Z";"2022-11-17T23:59:59.999Z";"2022-11-17T01:19:00.000Z";"2022-11-17T13:53:00.000Z";"2781";1215.8486725549;1224.9657091811;1189.1526628621;1200.8086045885;9723646870.56;146947591531.1;"2022-11-17T23:59:59.999Z"
"2022-11-16T00:00:00.000Z";"2022-11-16T23:59:59.999Z";"2022-11-16T02:37:00.000Z";"2022-11-16T16:04:00.000Z";"2781";1251.8087863128;1264.486323706;1192.9878263122;1215.6025437668;11939561597.95;148757983064.94;"2022-11-16T23:59:59.999Z"
"2022-11-15T00:00:00.000Z";"2022-11-15T23:59:59.999Z";"2022-11-15T13:35:00.000Z";"2022-11-15T18:44:00.000Z";"2781";1241.6777333185;1283.1986798065;1238.6881804802;1251.7361998221;11798011594.27;153179798257.02;"2022-11-15T23:59:59.999Z"
"2022-11-14T00:00:00.000Z";"2022-11-14T23:59:59.999Z";"2022-11-14T13:31:00.000Z";"2022-11-14T02:16:00.000Z";"2781";1221.8954835511;1284.217632199;1178.4291011835;1241.6042130742;15028035663.22;151939907866.2;"2022-11-14T23:59:59.999Z"
"2022-11-13T00:00:00.000Z";"2022-11-13T23:59:59.999Z";"2022-11-13T04:07:00.000Z";"2022-11-13T21:07:00.000Z";"2781";1255.4412477301;1271.712582069;1208.5209463868;1221.8192177316;10717455213.58;149518741493.03;"2022-11-13T23:59:59.999Z"
"2022-11-12T00:00:00.000Z";"2022-11-12T23:59:59.999Z";"2022-11-12T00:04:00.000Z";"2022-11-12T05:56:00.000Z";"2781";1287.4383591763;1288.1508661086;1242.1521943774;1255.2683256186;10964962767.09;153612038146.7;"2022-11-12T23:59:59.999Z"
"2022-11-11T00:00:00.000Z";"2022-11-11T23:59:59.999Z";"2022-11-11T01:11:00.000Z";"2022-11-11T14:32:00.000Z";"2781";1298.8824415638;1302.2952899635;1211.3295861906;1287.2211001564;20920539098.56;157522222703.27;"2022-11-11T23:59:59.999Z"
"2022-11-10T00:00:00.000Z";"2022-11-10T23:59:59.999Z";"2022-11-10T16:31:00.000Z";"2022-11-10T00:05:00.000Z";"2781";1100.1072148734;1341.7911850977;1093.1225263425;1299.4646098434;28581002121.87;159020508319.75;"2022-11-10T23:59:59.999Z"
